rep1,rep2,BrayCurtis_dist
VRP_3_3,VRP_3_2,1
VRP_1_3,VRP_3_2,1
VRP_2_1,VRP_3_2,1
VRP_2_3,VRP_3_2,1
VRP_1_1,VRP_3_2,1
VRP_3_1,VRP_3_2,1
VRP_1_2,VRP_3_2,1
VRP_3_2,VRP_3_3,1
VRP_1_3,VRP_3_3,0.8181818181818182
VRP_2_1,VRP_3_3,0.8181818181818182
VRP_2_3,VRP_3_3,0.8181818181818182
VRP_1_1,VRP_3_3,1
VRP_3_1,VRP_3_3,1
VRP_1_2,VRP_3_3,1
VRP_3_2,VRP_1_3,1
VRP_3_3,VRP_1_3,0.8181818181818182
VRP_2_1,VRP_1_3,0.7391304347826086
VRP_2_3,VRP_1_3,0.7391304347826086
VRP_1_1,VRP_1_3,1
VRP_3_1,VRP_1_3,1
VRP_1_2,VRP_1_3,1
VRP_3_2,VRP_2_1,1
VRP_3_3,VRP_2_1,0.8181818181818182
VRP_1_3,VRP_2_1,0.7391304347826086
VRP_1_1,VRP_2_1,1
VRP_3_1,VRP_2_1,1
VRP_1_2,VRP_2_1,1
VRP_3_2,VRP_2_3,1
VRP_3_3,VRP_2_3,0.8181818181818182
VRP_1_3,VRP_2_3,0.7391304347826086
VRP_1_1,VRP_2_3,1
VRP_3_1,VRP_2_3,1
VRP_1_2,VRP_2_3,1
VRP_3_2,VRP_1_1,1
VRP_3_3,VRP_1_1,1
VRP_1_3,VRP_1_1,1
VRP_2_1,VRP_1_1,1
VRP_2_3,VRP_1_1,1
VRP_3_1,VRP_1_1,0.75
VRP_1_2,VRP_1_1,1
VRP_3_2,VRP_3_1,1
VRP_3_3,VRP_3_1,1
VRP_1_3,VRP_3_1,1
VRP_2_1,VRP_3_1,1
VRP_2_3,VRP_3_1,1
VRP_1_1,VRP_3_1,0.75
VRP_1_2,VRP_3_1,1
VRP_3_2,VRP_1_2,1
VRP_3_3,VRP_1_2,1
VRP_1_3,VRP_1_2,1
VRP_2_1,VRP_1_2,1
VRP_2_3,VRP_1_2,1
VRP_1_1,VRP_1_2,1
VRP_3_1,VRP_1_2,1
