rep1,rep2,BrayCurtis_dist
VRP_2_1,VRP_3_2,0.7674418604651164
VRP_3_3,VRP_3_2,0.7543859649122807
VRP_1_3,VRP_3_2,1
VRP_2_2,VRP_3_2,1
VRP_2_3,VRP_3_2,1
VRP_3_1,VRP_3_2,1
VRP_1_1,VRP_3_2,1
VRP_1_2,VRP_3_2,1
VRP_3_2,VRP_2_1,0.7674418604651164
VRP_3_3,VRP_2_1,1
VRP_1_3,VRP_2_1,0.6744186046511628
VRP_2_2,VRP_2_1,0.6744186046511628
VRP_2_3,VRP_2_1,0.6744186046511628
VRP_3_1,VRP_2_1,0.6744186046511629
VRP_1_1,VRP_2_1,0.6511627906976745
VRP_1_2,VRP_2_1,0.6511627906976745
VRP_3_2,VRP_3_3,0.7543859649122807
VRP_2_1,VRP_3_3,1
VRP_1_3,VRP_3_3,1
VRP_2_2,VRP_3_3,1
VRP_2_3,VRP_3_3,1
VRP_3_1,VRP_3_3,1
VRP_1_1,VRP_3_3,1
VRP_1_2,VRP_3_3,1
VRP_3_2,VRP_1_3,1
VRP_2_1,VRP_1_3,0.6744186046511628
VRP_3_3,VRP_1_3,1
VRP_1_1,VRP_1_3,1
VRP_1_2,VRP_1_3,1
VRP_3_2,VRP_2_2,1
VRP_2_1,VRP_2_2,0.6744186046511628
VRP_3_3,VRP_2_2,1
VRP_1_1,VRP_2_2,1
VRP_1_2,VRP_2_2,1
VRP_3_2,VRP_2_3,1
VRP_2_1,VRP_2_3,0.6744186046511628
VRP_3_3,VRP_2_3,1
VRP_1_1,VRP_2_3,1
VRP_1_2,VRP_2_3,1
VRP_3_2,VRP_3_1,1
VRP_2_1,VRP_3_1,0.6744186046511629
VRP_3_3,VRP_3_1,1
VRP_1_1,VRP_3_1,1
VRP_1_2,VRP_3_1,1
VRP_3_2,VRP_1_1,1
VRP_2_1,VRP_1_1,0.6511627906976745
VRP_3_3,VRP_1_1,1
VRP_1_3,VRP_1_1,1
VRP_2_2,VRP_1_1,1
VRP_2_3,VRP_1_1,1
VRP_3_1,VRP_1_1,1
VRP_3_2,VRP_1_2,1
VRP_2_1,VRP_1_2,0.6511627906976745
VRP_3_3,VRP_1_2,1
VRP_1_3,VRP_1_2,1
VRP_2_2,VRP_1_2,1
VRP_2_3,VRP_1_2,1
VRP_3_1,VRP_1_2,1
